ID,Surface,Feature,UserStory,ExpectedBehaviour,SourceRefs,Phase1_Documented,Phase2_TestStatus,ErrorsFound,FixStatus,Phase4_RetestStatus,Notes
FIN-01,finyk,Connect Monobank account,Connect Monobank via API token so bank tx auto-sync,Token entry or manual bypass; useMonobank fetches accounts/tx; NoBankBanner first visit; AuthErrorBanner on expiry,FinykApp.tsx:74; components/FinykLoginScreen.tsx,yes,BLOCKED,needs Monobank token + backend,,,
FIN-02,finyk,Manual expense entry,Record expenses manually without bank,FAB opens ManualExpenseSheet (desc/amount/category/date); voice parse; frequent quick-picks; delete w/ undo,FinykApp.tsx:373; components/ManualExpenseSheet.tsx,yes,PASS,,,,add-expense persists via SPA (137 UAH Продукти in Сьогодні·2); keystrokes needed; zod parseFloat>0
FIN-03,finyk,Transaction list & history,See all tx grouped by date,Day-grouped list; month nav current/history; pull-to-refresh; per-day counts,pages/transactions/Transactions.tsx:131,yes,PASS,,,,"day-grouped tx list, month nav, expand/collapse"
FIN-04,finyk,Hide & exclude transactions,Hide/exclude tx so they don't distort budget,Swipe-hide persists; exclude-from-stats keeps visible; batch toolbar; hidden count toggle,pages/transactions/Transactions.tsx:151,yes,RENDER,,,,'Режим вибору' select-mode toggle for bulk hide/exclude
FIN-05,finyk,Transaction categorization,Assign/override tx categories,Overrides persist per tx; batch categorize; custom categories; emoji selector,pages/transactions/Transactions.tsx:158; components/CategorySelector.tsx,yes,PASS,,,,category quick-pick in add sheet works
FIN-06,finyk,Transaction split,Split one tx across categories,Inline split form (category/amount pairs); persists; reappears on edit,pages/transactions/Transactions.tsx:100; components/TxRow.tsx,yes,BLOCKED,no split control in edit sheet; transaction split not exposed in demo manual flow,,,
FIN-07,finyk,Filter transactions,Filter by type & category,Toolbar All/Expense/Income/Credit + category pills; roving-tabindex; pills show if spend>0,pages/transactions/TransactionFilters.tsx:25,yes,RENDER,,,,filter toolbar Всі/Витрати/Доходи + category pill; next-month disabled
FIN-08,finyk,Monthly budget planning,Set planned income/expense/savings,MonthlyPlanCard collapsible; plan vs fact deltas; progress bar; first-run auto-opens,components/budgets/MonthlyPlanCard.tsx:55,yes,PASS,,,,"monthly plan План/Факт/Δ, 0% spent, first-run hint"
FIN-09,finyk,Expense limit budgets,Set per-category limits w/ alerts,Progress green<80/yellow80-100/red>100; edit/delete; AI advice toggle,components/budgets/LimitBudgetCard.tsx:43,yes,RENDER,,,,Ліміти·червень section renders
FIN-10,finyk,Savings goal budgets,Track savings goals,saved/target bar+pct; edit; celebration once at 100%; days-left; delete,components/budgets/GoalBudgetCard.tsx:38,yes,RENDER,,,,Цілі накопичення section renders
FIN-11,finyk,Add budget,Create new limit or goal,AddBudgetForm type/category/amount/date; validation amount>0; persists,components/budgets/AddBudgetForm.tsx; pages/budgets/Budgets.tsx:70,yes,RENDER,,,,+ Додати ліміт/ціль button present
FIN-12,finyk,Overview dashboard,Quick financial snapshot,HeroCard networth(masked toggle)/mono/debt/day-budget; MonthPulse; recent tx; sync badge,pages/Overview.tsx:42; pages/overview/HeroCard.tsx:39,yes,PASS,,,,"Overview: HeroCard (networth/day-budget 6875/день, День 27/30 90%) + MonthPulse (Витрати 500₴, прогноз 556₴, 2% плану)"
FIN-13,finyk,Recurring expense detection,Detect recurring patterns -> subscriptions,RecurringSuggestions list w/ amount/cadence/confidence/occurrences; add or dismiss,components/RecurringSuggestions.tsx:70,yes,BLOCKED,recurring detection needs repeating tx pattern (demo has few one-off tx),,,
FIN-14,finyk,Subscription tracking,Track recurring subs & billing dates,SubCard name/emoji/billing day; next-billing relative; edit/delete; tx linking,components/SubCard.tsx:65,yes,RENDER,,,,Subscriptions section present '0 активних' (demo seeds no subs)
FIN-15,finyk,Assets & liabilities,Track assets/liabilities outside bank,AssetsTable sections; AssetsForm; delete; tx-picker link; networth includes all,pages/Assets.tsx:5; pages/AssetsForm.tsx,yes,RENDER,,,,"Assets page: Загальний нетворс 0₴, +Підписка/+Актив/+Пасив, collapsible sections (demo seeds no assets)"
FIN-16,finyk,Debt & receivables,Track debts owed/owed-to-me,DebtCard remaining/paid/total bar; due-date overdue/today/Ndays; link tx; delete,components/DebtCard.tsx:48,yes,RENDER,,,,Пасиви section present −0₴ (demo seeds no liabilities)
FIN-17,finyk,Net worth chart,See net worth trend,SVG line+area; month labels; green up/red down; shows if 2+ points,components/NetworthChart.tsx:20,yes,RENDER,,,,Networth chart correct empty-state 'Поки що мало знімків' (demo has no balance snapshots)
FIN-18,finyk,Analytics & spending breakdown,Analyze spend by category/merchant,Month nav; current vs prev compare; pie chart (lazy); merchant list; Suspense fallback,pages/Analytics.tsx:1,yes,PASS,,,,"Analytics: month summary (Витрати 500/Баланс -500), category pie (Інше 76%/Транспорт 24%), top merchants"
