"feature_id","surface","source","route_or_entry","feature","user_story","expected_behavior","status","discovery_evidence","test_type","test_status","error_ids","fix_status","retest_status","owner_skill","last_updated","notes"
"WEB-HUB-001","web","apps/web/src/core/app/router.tsx","/","Hub home dashboard","As a returning or onboarded user, I want the root URL to show my hub dashboard so I can open modules and see app-level prompts.","Root route renders HubPage and then HubHomeView when storage is ready and onboarding is not required.","tested_passed","router.tsx root index -> HubPage; HubPage fallback branch -> HubHomeView","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-HUB-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/","Public landing for fresh visitors","As a fresh unauthenticated visitor, I want the root URL to show the landing page so I can decide whether to continue or sign in.","When auth is not loading, there is no user, storage is ready, and onboarding is required, / renders LandingPage.","tested_passed","StandaloneRoutes root entry renders LandingPage under shouldShowOnboarding","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ONBOARD-001","web","apps/web/src/core/onboarding/route.tsx","/onboarding/*","Onboarding route","As a first-time user, I want the onboarding flow to load on demand so I can configure the app without paying that bundle cost on every visit.","/onboarding/* lazy-loads WelcomeScreen and returns to / on completion.","tested_passed","router.tsx onboarding child; core/onboarding/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ONBOARD-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/welcome","Welcome cold-start flow","As a first-time user opening /welcome, I want to see onboarding only after storage readiness is known so returning users are not bounced into onboarding.","/welcome renders PageLoader until storageReady, redirects warm users to /, and renders WelcomeScreen for true first-run users.","tested_passed","StandaloneRoutes welcome entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/sign-in","Sign-in page","As a user, I want /sign-in to show the auth form when I am logged out and redirect me home when I am already logged in.","/sign-in renders AuthPage for logged-out users and RedirectTo / once authLoading settles with a user.","tested_passed","StandaloneRoutes sign-in entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/login /signin /auth","Auth aliases","As a user following an old auth link, I want login aliases to resolve to the canonical sign-in URL.","Alias paths hard redirect to /sign-in.","tested_passed","StandaloneRoutes SIGN_IN_ALIAS_PATHS entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-003","web","apps/web/src/core/app/StandaloneRoutes.tsx","/reset-password","Reset password landing","As a user with a magic reset link, I want reset-password to render even if a session already exists so I can recover the intended account.","/reset-password renders ResetPasswordPage unconditionally.","tested_passed","StandaloneRoutes reset-password entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-PROFILE-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/profile","Legacy profile deep link","As a user with an old /profile link, I want it to send me to the current profile tab or sign-in if I am logged out.","/profile waits for auth, redirects logged-out users to /sign-in, and logged-in users to /?tab=profile.","tested_passed","StandaloneRoutes profile entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-PRICING-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/pricing","Pricing page","As a visitor, I want pricing to be publicly reachable so I can understand plans before signing up.","/pricing lazy-loads PricingPage without requiring auth.","tested_passed","StandaloneRoutes pricing entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-LEGAL-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/privacy /terms /cookies /offer","Legal pages","As a visitor, I want legal URLs to render the correct legal document so I can inspect privacy, terms, cookies, or offer details.","Legal path group lazy-loads LegalPage with the current pathname.","tested_passed","StandaloneRoutes legal entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
